cluster,Component_1,Component_2,Component_3,Component_4,Component_5
0,0.07533510274378802,0.0901216788850099,0.22047882223672727,0.051856419388285495,0.5622079767461893
1,0.06519508317888839,0.09617570776214958,0.5633204262323096,0.10228985240515019,0.17301893042150224
2,0.19490218724557376,0.1559253604640359,0.05893894856142796,0.5275899799950258,0.0626435237339366
3,0.39449402171574394,0.4680143018612455,0.0293397482520843,0.07680478598879148,0.031347142182134774
4,0.624649001094669,0.22646848014706103,0.05499702466637528,0.07325403649755824,0.020631457594336405
5,0.005877875011898374,0.8020742106263457,0.057518628575465296,0.06292822398078794,0.07160106180550278
6,0.0,0.0,0.0,0.0,0.0
7,0.9643865975357153,0.017810904487938806,0.005565937513662918,0.004711637286116488,0.007524923176566493
8,1.1534569858199442e-05,0.00011172661128942605,0.9981919462768511,0.0015398670889343773,0.0001449254530668255
9,0.00011462235180455752,0.000639416277150517,0.0068816434924657,0.005870418916485848,0.9864938989620933
10,0.0003950261403430777,0.0024066129330042115,0.004503365783783497,0.9906280535735951,0.002066941569274149
